NUMBER_KEY,PARCELID,ELEV_ZONE,BLDG_ZONE,ELEC_ZONE,MECH_ZONE,PLMB_ZONE,SIGN_ZONE,ENFC_ZONE
E0731420,091029  00015,1,15,9,6,5,1,1
BC0015432,093500  00238,2,16,13,8,7,5,5
E0695197,020076  00036C,1,1,7,11,9,7,7
M0743449,A0142W H00034,1,4,2,1,2,9,9
E0728236,D0209B A00050,1,11,4,2,5,1,1
P0354194,A0142V B00060,1,4,2,1,2,9,9
E0735359,093512 A00049,2,16,13,8,7,8,8
B1050622,A0142W H00013,1,4,2,1,2,9,9
P0350216,A0142M B00019,1,4,2,1,2,9,9
M0703944,L0150U B00030,1,4,2,1,2,9,9
P0354220,A0142V B00051,1,4,2,1,2,9,9
P0356304,D0104   00509,1,2,1,7,1,4,4
M0744604,M0115L B00016,1,2,2,7,2,3,3
M0743451,A0142H C00017,1,4,2,1,2,9,9
M0750367,D0118   00318C,1,4,2,1,2,9,9
E0731486,091029  00015,1,15,9,6,5,1,1
B1102955,A0142   00480C,1,4,2,1,2,9,9
P0354457,D0255F H00045,2,16,13,8,7,8,8
E0732404,D0255F H00047,2,16,13,8,7,8,8
E0728593,028051  00004,2,6,7,11,9,2,2
E0654641,081093  00042,2,16,13,8,8,8,8
E0721841,090078  00007,1,2,1,3,1,3,3
M0713546,091089  00012,1,11,9,6,5,1,1
P0355456,090078  00007,1,2,1,3,1,3,3
P0355456,090078  00007,1,2,1,3,1,3,3
B1103834,M0126   00312,1,2,2,7,1,3,3
M0745001,015004  00013,2,1,7,11,9,7,7
M0747363,090078  00007,1,2,1,3,1,3,3
M0747363,090078  00007,1,2,1,3,1,3,3
P0351599,A0142W H00009,1,4,2,1,2,9,9
E20001271,054009  00005,1,6,7,11,4,2,2
P0359451,A0142   00837,1,4,2,1,2,9,9
CP200038,072047 A00079,1,5,1,3,1,4,4
P0359451,A0142   00837,1,4,2,1,2,9,9
P0359451,A0142   00837,1,4,2,1,2,9,9
E0735717,D0223N A00103,1,11,9,6,5,1,1
E0729268,D0221W A00078,1,11,9,6,5,1,1
E0708723,,1,4,2,2,2,9,9
M0748055,G0230Q E00007,2,17,9,6,7,1,1
E0733999,,2,6,7,5,4,2,2
P0351599,A0142W H00009,1,4,2,1,2,9,9
E0733997,,2,6,7,5,4,2,2
E0733998,,2,6,7,5,4,2,2
E0668093,D0223M A00025,1,11,9,6,5,1,1
M0743461,A0141G B00020,1,4,2,1,2,9,9
E0721579,A0141G B00022,1,4,2,1,2,9,9
E0721579,A0141G B00022,1,4,2,1,2,9,9
M0743460,A0141G B00022,1,4,2,1,2,9,9
P0359566,M0115L B00035,1,2,2,7,2,3,3
M0744606,M0115L B00012,1,2,2,7,2,3,3
M0744605,M0115L B00033,1,2,2,7,2,3,3
P0358167,A0142W G00024,1,4,2,1,2,9,9
E0733185,D0215M E00022,1,11,9,6,5,1,1
P0351599,A0142W H00009,1,4,2,1,2,9,9
M0742251,G0232X H00014,1,17,9,6,8,1,1
P0351574,A0141G B00001,1,4,2,1,2,9,9
C04569780,079013  00051,2,10,11,9,6,5,5
B1111018,A0142W G00024,1,4,2,1,2,9,9
M0746030,A0141G B00001,1,4,2,1,2,9,9
CZW198983,D0255U H00040,2,16,13,8,7,8,8
S0108662,D0207  J00001C,1,15,4,2,5,1,1
P0352937,L0159H B00001,1,4,4,1,2,9,9
M0744494,075259 R00011,2,10,10,10,6,10,10
E0705203,074101  00020,2,16,11,9,7,5,5
P0357558,D0116  A00044,1,4,2,7,2,3,3
E0705203,074101  00020,2,16,11,9,7,5,5
P0354226,L0151Y A00022,1,4,2,1,2,9,9
E0720623,G0232X H00014,1,17,9,6,8,1,1
E0693351,049084  00009,2,10,15,10,6,7,7
M0748022,091063 B00018,1,15,9,6,5,1,1
M0750352,080021 E00023,1,15,8,5,4,1,1
E0724804,D0215R H00017,1,11,4,2,5,1,1
E0693265,076088 C00047,2,10,10,10,6,10,10
SC005929,017072  00001C,2,1,7,11,9,7,7
E0734165,040026  00040,1,2,7,3,9,7,7
E0668105,070042  00062,1,2,1,7,1,4,4
C04797542,095204 A00044,1,5,4,2,2,9,9
E0734165,040026  00040,1,2,7,3,9,7,7
SC005895,073032  00002,2,16,11,9,7,5,5
CSW178375,073008  00016,2,16,11,9,7,5,5
SC005796,074034  00141,2,16,11,9,7,5,5
B1094752,012008  00012,2,1,6,4,3,7,7
E0736625,080021  00036,1,15,8,5,4,1,1
C04769390,079093  00014,2,10,11,9,6,5,5
E0686246,060174  00140,2,10,11,9,6,5,5
C04627938,085014  00020,1,5,2,3,1,3,3
P0350233,088047  00017C,1,5,4,3,1,1,1
E0672034,070042  00062,1,2,1,7,1,4,4
E0702876,053056  00001C,1,5,1,3,1,2,2
B1117033,G0221E H00007,1,17,9,6,8,1,1
M0651963,002099  00002C,2,1,6,4,3,7,7
B1106052,002099  00002C,2,1,6,4,3,7,7
E0614350,081026 E00010C,2,17,9,6,7,1,1
E0689209,002093 A00030,2,1,6,4,3,7,7
E0726498,045102  00006,2,6,7,5,9,2,2
B1106626,089014  00156,1,15,8,11,4,1,1
P0336565,092006  00023,1,5,4,2,2,9,9
E0734166,069059  00028,1,2,1,7,1,4,4
P0335721,005015  00008C,2,1,6,4,3,7,7
E0722891,031112  00005,2,10,15,5,9,7,7
E0730216,A0152   00293,1,4,2,1,2,9,9
M0668598,046029  00004,2,6,8,5,4,2,2
E0724774,D0222   00492C,1,11,9,6,5,1,1
E0729620,020078  00050,1,1,7,11,9,7,7
